File,Line,Severity,Category,Rule/Issue,MessageOrRisk,CurrentCode,SuggestedFix,EstimatedEffortHrs,Dependencies
packages/validator/test/integration-validate.spec.ts,26,MINOR,pattern,explicit-any,'any' erodes type safety allowing runtime errors.,"        makeDir: async () => {},
        write: async (_p: string, _c: any) => {},
        read: async (p: string) => {",Replace with specific type or generics.,,
apps/web/app/session/[id]/page.tsx,10,MAJOR,pattern,explicit-any,'any' erodes type safety allowing runtime errors.,"type FileEntry = { path: string; size?: number; content?: string };

type EventMsg = { type: string; data: any };

export default function SessionPage() {",Replace with specific type or generics.,,
apps/web/app/api/stream/route.ts,48,MAJOR,pattern,explicit-any,'any' erodes type safety allowing runtime errors.,"    const trace = Array.isArray(e2e?.execution_trace) ? e2e.execution_trace : [];
    const p = trace.map((t: any) => String(t.phase || '')); if (p.length > 0) phases = p;
  } catch {}",Replace with specific type or generics.,,
packages/implementer/src/server.ts,34,MINOR,pattern,promise-no-await,Potential unhandled promise; verify awaited or returned.,"      createVfs(execId),
      Promise.resolve(getLangfuse())
    ]);",Ensure the promise chain is awaited or handled.,,
packages/mca/src/server.ts,31,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"// PostgresSaver expects a pg-compatible pool; cast through unknown to satisfy typings without using any
const checkpointer = new PostgresSaver(pool as unknown as Pool);
// Verify checkpointer setup (skip in tests to avoid exiting test runner)",Model actual type or refine generics instead of casting.,,
packages/mca/src/server.ts,38,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    // eslint-disable-next-line @typescript-eslint/no-explicit-any
    (checkpointer as any).setup().catch((err: Error) => {
      logger.error({ err: err.message }, 'PostgresSaver setup failed');",Model actual type or refine generics instead of casting.,,
packages/mca/src/server.ts,186,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  try {
    const opts: Record<string, unknown> = { configurable: { thread_id: execId } } as unknown as Record<string, unknown>;
    logger.info({ execId, intent }, 'invoking graph');",Model actual type or refine generics instead of casting.,,
packages/mca/src/server.ts,188,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    logger.info({ execId, intent }, 'invoking graph');
    await (graph as unknown as { invoke: (st: McaState, o?: Record<string, unknown>) => Promise<unknown> }).invoke({ execId, intent }, opts);
    logger.info({ execId }, 'graph invoke completed');",Model actual type or refine generics instead of casting.,,
packages/mca/src/server.ts,253,MAJOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"  const buf = await streamToBuffer(stream);
  const parsed = JSON.parse(buf.toString('utf8')) as unknown;
  return PlanSchema.parse(parsed);",Model actual type or refine generics instead of casting.,,
packages/mca/src/__tests__/server.test.ts,104,MINOR,pattern,unsafe-cast,Unsafe cast bypasses compiler and may hide runtime type errors.,"    ensureBucket: vi.fn().mockResolvedValue(undefined),
    minio: { getObject, bucketExists: vi.fn().mockResolvedValue(true) } as unknown as MinioModule['minio'],
    ARTIFACT_BUCKET: 'umca-artifacts'",Model actual type or refine generics instead of casting.,,
